[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1699971414.674504
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\http\__init__.py first seen with mtime 1699971417.0095181
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1699971416.617911
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\contrib\admin\helpers.py first seen with mtime 1699971413.4391181
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\conf\__init__.py first seen with mtime 1699971412.9141512
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\AppData\Local\Programs\Python\Python310\Lib\json\__init__.py first seen with mtime 1659371368.0
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\StockPrice\StockPrice\__init__.py first seen with mtime 1699971167.2946396
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\core\exceptions.py first seen with mtime 1699971416.6442316
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\db\models\options.py first seen with mtime 1699971416.84444
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\urls\converters.py first seen with mtime 1699971417.064574
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\contrib\contenttypes\apps.py first seen with mtime 1699971414.6995265
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\AppData\Local\Programs\Python\Python310\Lib\dis.py first seen with mtime 1659371368.0
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\template\base.py first seen with mtime 1699971417.024235
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\core\checks\translation.py first seen with mtime 1699971416.6746223
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\forms\forms.py first seen with mtime 1699971416.8944962
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\utils\_os.py first seen with mtime 1699971417.064574
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\utils\topological_sort.py first seen with mtime 1699971417.104244
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\AppData\Local\Programs\Python\Python310\Lib\email\encoders.py first seen with mtime 1659371368.0
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\contrib\sites\shortcuts.py first seen with mtime 1699971416.384509
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1699971416.6843462
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\contrib\__init__.py first seen with mtime 1699971413.4292154
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\utils\crypto.py first seen with mtime 1699971417.0784335
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\db\models\functions\datetime.py first seen with mtime 1699971416.870483
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1699971416.6965797
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\core\files\locks.py first seen with mtime 1699971416.6843462
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\db\backends\sqlite3\introspection.py first seen with mtime 1699971416.8144443
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\utils\http.py first seen with mtime 1699971417.094554
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\db\models\expressions.py first seen with mtime 1699971416.84444
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\forms\widgets.py first seen with mtime 1699971416.9022555
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1699971417.0302193
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1699971412.9262586
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1699971416.7541173
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\AppData\Local\Programs\Python\Python310\Lib\lzma.py first seen with mtime 1659371368.0
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\utils\text.py first seen with mtime 1699971417.104244
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\AppData\Local\Programs\Python\Python310\DLLs\_ssl.pyd first seen with mtime 1659371398.0
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\views\generic\base.py first seen with mtime 1699971417.1344106
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\AppData\Local\Programs\Python\Python310\Lib\random.py first seen with mtime 1659371368.0
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\AppData\Local\Programs\Python\Python310\Lib\asyncio\staggered.py first seen with mtime 1659371368.0
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1699971412.6340606
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1699971416.6746223
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\utils\dates.py first seen with mtime 1699971417.0784335
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\forms\renderers.py first seen with mtime 1699971416.8944962
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\AppData\Local\Programs\Python\Python310\Lib\http\__init__.py first seen with mtime 1659371368.0
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\core\checks\files.py first seen with mtime 1699971416.6695085
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1699971416.870483
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\db\backends\base\validation.py first seen with mtime 1699971416.7767332
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\AppData\Local\Programs\Python\Python310\Lib\traceback.py first seen with mtime 1659371368.0
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\apps\__init__.py first seen with mtime 1699971412.9085746
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\contrib\sites\__init__.py first seen with mtime 1699971416.37642
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\core\handlers\base.py first seen with mtime 1699971416.6965797
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1699971416.7643576
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\contrib\sessions\base_session.py first seen with mtime 1699971416.1144946
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\AppData\Local\Programs\Python\Python310\Lib\logging\config.py first seen with mtime 1659371368.0
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\AppData\Local\Programs\Python\Python310\Lib\encodings\aliases.py first seen with mtime 1659371368.0
[14/Nov/2023 20:05:42] DEBUG [django.utils.autoreload:394] File C:\Users\amity\myenv\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1699971416.8843837
